ZIP,Number of returns >75k,zip_code,Borough
10023,21990,10023,M
11201,20820,11201,Bk
10025,20660,10025,M
10128,19380,10128,M
10016,19140,10016,M
10011,18970,10011,M
10024,18600,10024,M
11215,17710,11215,Bk
10003,17270,10003,M
11375,16320,11375,Q
10028,15830,10028,M
10021,15320,10021,M
10019,14900,10019,M
10022,13540,10022,M
11234,13200,11234,Bk
11238,13160,11238,Bk
10312,12940,10312,SI
10014,12430,10014,M
11209,12240,11209,Bk
10009,12220,10009,M
11211,10710,11211,Bk
11217,10540,11217,Bk
10010,10530,10010,M
11385,10280,11385,Bk
11385,10280,11385,Q
10306,10250,10306,SI
10065,10110,10065,M
11229,9940,11229,Bk
10463,9920,10463,Bx
10463,9920,10463,M
11235,9840,11235,Bk
11101,9800,11101,Q
10002,9560,10002,M
10036,9380,10036,M
11218,9120,11218,Bk
11236,9010,11236,Bk
11222,9010,11222,Bk
11230,8630,11230,Bk
11231,8380,11231,Bk
11377,8370,11377,Q
11226,8050,11226,Bk
10001,7930,10001,M
10013,7710,10013,M
10017,7650,10017,M
11214,7530,11214,Bk
10012,7350,10012,M
11216,7100,11216,Bk
11372,7090,11372,Q
10309,6760,10309,SI
11223,6710,11223,Bk
10462,6600,10462,Bx
10027,6530,10027,M
11373,6450,11373,Q
10469,6420,10469,Bx
11225,6390,11225,Bk
11221,6350,11221,Bk
11106,6290,11106,Q
10305,6050,10305,SI
10038,6010,10038,M
11204,5970,11204,Bk
10308,5810,10308,SI
10461,5800,10461,Bx
11206,5700,11206,Bk
11102,5600,11102,Q
10301,5550,10301,SI
11103,5500,11103,Q
10029,5400,10029,M
10304,5090,10304,SI
11414,4960,11414,Q
10026,4930,10026,M
10467,4870,10467,Bx
10466,4860,10466,Bx
10471,4830,10471,Bx
10033,4800,10033,M
11435,4770,11435,Q
11233,4760,11233,Bk
11207,4640,11207,Bk
11220,4560,11220,Bk
11104,4440,11104,Q
11213,4370,11213,Bk
10031,4340,10031,M
11219,4270,11219,Bk
11208,4120,11208,Bk
11368,4070,11368,Q
10005,3980,10005,M
10032,3970,10032,M
10040,3740,10040,M
10034,3700,10034,M
10018,3700,10018,M
11694,3630,11694,Q
11212,3420,11212,Bk
11421,3410,11421,Q
11224,3380,11224,Bk
11691,3380,11691,Q
11427,3340,11427,Q
11415,3230,11415,Q
11237,3140,11237,Bk
11418,3100,11418,Q
11417,2950,11417,Q
10307,2950,10307,SI
11419,2900,11419,Q
10468,2870,10468,Bx
10035,2780,10035,M
10007,2690,10007,M
10458,2440,10458,Bx
10037,2400,10037,M
10472,2290,10472,Bx
11232,2210,11232,Bk
11433,2200,11433,Q
10451,2180,10451,Bx
10452,2030,10452,Bx
10453,1970,10453,Bx
10044,1960,10044,M
10039,1940,10039,M
10470,1910,10470,Bx
10457,1830,10457,Bx
10460,1730,10460,Bx
10004,1680,10004,M
10006,1630,10006,M
11693,1490,11693,Q
11692,1400,11692,Q
10459,1340,10459,Bx
10455,1090,10455,Bx
10454,890,10454,Bx
